symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
SFL,Sheela Foam Limited,NILESH SEVABRATA MAJUMDAR,Key Managerial Personnel,1000.0,1000000,Buy,-,Market Purchase,BSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,370.0,259394,Buy,31-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,44873.0,1503246,Buy,31-Dec-2024,Market Purchase,BSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,132383.0,4427331,Buy,31-Dec-2024,Market Purchase,NSE
POONAWALLA,Poonawalla Fincorp Limited,RISING SUN HOLDINGS PRIVATE LIMITED,Promoters,100000.0,32109702,Buy,27-Dec-2024,Market Purchase,NSE
TOKYOPLAST,Tokyo Plast International Limited,Priti Haresh Shah,Promoter Group,2283.0,289495,Buy,18-Dec-2024,Market Purchase,BSE
TOKYOPLAST,Tokyo Plast International Limited,Priti Haresh Shah,Promoter Group,7223.0,914977,Buy,18-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd.,Promoter Group,13500.0,16987147,Buy,30-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,RISHIT  KOTECHA,Promoters,10000.0,2120000,Buy,30-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,Madhusudan Auto-Biz Private Limited,Promoter Group,6000.0,1272000,Buy,30-Dec-2024,Market Purchase,NSE
HITECH,Hi-Tech Pipes Limited,"MANOJ KUMAR GUPTA, TRUSTEE HI-TECH PIPES EMPLOYEES WELFARE TRUST",Other,11500.0,1850750,Buy,27-Dec-2024,Market Purchase,NSE
KRSNAA,Krsnaa Diagnostics Limited,Krsna Diagnostics (Mumbai) Private Limited,Promoter Group,22929.0,19968604,Buy,27-Dec-2024,Market Purchase,NSE
GAEL,Gujarat Ambuja Exports Limited,Nidhi Sandeep Agrawal,Immediate relative,1500.0,188620,Buy,26-Dec-2024,Market Purchase,NSE
SKP,Skp Bearing Industries Limited,PANKAJ PRAFULLAKUMAR PATIL,Promoter Group,7500.0,1886450,Buy,27-Dec-2024,Market Purchase,NSE
JASH,Jash Engineering Limited,Patamin Investments Pvt Ltd.,Promoter Group,13000.0,7561946,Buy,27-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,240.0,168600,Buy,30-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,100.0,69969,Buy,27-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,900.0,628110,Buy,30-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,43426.0,1454771,Buy,30-Dec-2024,Market Purchase,BSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,200000.0,6650000,Buy,30-Dec-2024,Market Purchase,NSE
JINDRILL,Jindal Drilling And Industries Limited,Jindal Pipes Limited,Promoter Group,150000.0,113975136,Buy,26-Dec-2024,Market Purchase,NSE
JSL,Jindal Stainless Limited,JSL OVERSEAS HOLDING LTF,Promoter Group,16855.0,12220106,Buy,26-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd.,Promoter Group,13500.0,16594698,Buy,27-Dec-2024,Market Purchase,NSE
SFL,Sheela Foam Limited,Rahul Gautam,Promoters,12182.0,12212830,Buy,-,Market Purchase,NSE
ADOR,Ador Welding Limited,VIMLA ASHDA LALVANI,Promoter Group,1093.0,1228482,Buy,23-Dec-2024,Market Purchase,BSE
