symbol,trade_date,entry_date,exit_date,entry_price,exit_price,return_%
ALMONDZ.NS,2024-12-31,2025-01-01,2025-01-15,33.5,31.41,-6.24
ALMONDZ.NS,2024-12-31,2025-01-01,2025-01-15,33.5,31.41,-6.24
POONAWALLA.NS,2024-12-27,2024-12-30,2025-01-13,315.35,302.25,-4.15
FAIRCHEMOR.NS,2024-12-30,2024-12-31,2025-01-14,1218.75,988.5,-18.89
MADHUSUDAN.NS,2024-12-30,2024-12-31,2025-01-14,217.4,211.45,-2.74
MADHUSUDAN.NS,2024-12-30,2024-12-31,2025-01-14,217.4,211.45,-2.74
HITECH.NS,2024-12-27,2024-12-30,2025-01-13,159.36,135.96,-14.68
KRSNAA.NS,2024-12-27,2024-12-30,2025-01-13,877.6,829.4,-5.49
SKP.NS,2024-12-27,2024-12-30,2025-01-13,253.0,245.0,-3.16
JASH.NS,2024-12-27,2024-12-30,2025-01-13,565.04,557.1,-1.41
ALMONDZ.NS,2024-12-30,2024-12-31,2025-01-14,33.49,32.0,-4.45
ALMONDZ.NS,2024-12-30,2024-12-31,2025-01-14,33.49,32.0,-4.45
JINDRILL.NS,2024-12-26,2024-12-27,2025-01-10,766.05,731.0,-4.58
JSL.NS,2024-12-26,2024-12-27,2025-01-10,734.84,624.57,-15.01
FAIRCHEMOR.NS,2024-12-27,2024-12-30,2025-01-13,1237.4,951.9,-23.07
NCLIND.NS,2024-12-30,2024-12-31,2025-01-14,218.3,199.71,-8.52
NCLIND.NS,2024-12-30,2024-12-31,2025-01-14,218.3,199.71,-8.52
MADHUSUDAN.NS,2024-12-27,2024-12-30,2025-01-13,211.4,211.25,-0.07
MADHUSUDAN.NS,2024-12-26,2024-12-27,2025-01-10,209.5,214.15,2.22
MADHUSUDAN.NS,2024-12-27,2024-12-30,2025-01-13,211.4,211.25,-0.07
NRBBEARING.NS,2024-12-27,2024-12-30,2025-01-13,277.8,259.1,-6.73
ALKYLAMINE.NS,2024-12-26,2024-12-27,2025-01-10,1825.46,1760.26,-3.57
PANACEABIO.NS,2024-12-26,2024-12-27,2025-01-10,426.85,437.95,2.6
NURECA.NS,2024-12-27,2024-12-30,2025-01-13,281.1,330.7,17.64
ALMONDZ.NS,2024-12-27,2024-12-30,2025-01-13,33.25,32.23,-3.07
ALMONDZ.NS,2024-12-27,2024-12-30,2025-01-13,33.25,32.23,-3.07
ALMONDZ.NS,2024-12-26,2024-12-27,2025-01-10,33.0,32.89,-0.33
NCC.NS,2024-12-26,2024-12-27,2025-01-10,279.15,251.05,-10.07
ECLERX.NS,2024-12-26,2024-12-27,2025-01-10,3650.1,3269.95,-10.41
GREENPLY.NS,2024-12-27,2024-12-30,2025-01-13,309.65,279.2,-9.83
GREENPLY.NS,2024-12-27,2024-12-30,2025-01-13,309.65,279.2,-9.83
GREENPLY.NS,2024-12-27,2024-12-30,2025-01-13,309.65,279.2,-9.83
UGARSUGAR.NS,2024-12-27,2024-12-30,2025-01-13,68.34,53.59,-21.58
FAIRCHEMOR.NS,2024-12-26,2024-12-27,2025-01-10,1227.45,1010.05,-17.71
INDGN.NS,2024-12-24,2024-12-26,2025-01-08,590.67,628.49,6.4
MANGLMCEM.NS,2024-12-26,2024-12-27,2025-01-10,981.1,962.85,-1.86
MANGLMCEM.NS,2024-12-27,2024-12-30,2025-01-13,981.55,948.3,-3.39
MANGLMCEM.NS,2024-12-27,2024-12-30,2025-01-13,981.55,948.3,-3.39
NCLIND.NS,2024-12-27,2024-12-30,2025-01-13,219.91,193.92,-11.82
PKTEA.NS,2024-12-23,2024-12-24,2025-01-07,768.3,723.55,-5.82
UGARSUGAR.NS,2024-12-26,2024-12-27,2025-01-10,70.14,58.59,-16.47
PAISALO.NS,2024-12-27,2024-12-30,2025-01-13,49.95,43.35,-13.21
ECLERX.NS,2024-12-23,2024-12-24,2025-01-07,3625.75,3390.6,-6.49
ECLERX.NS,2024-12-24,2024-12-26,2025-01-08,3552.0,3335.5,-6.1
NCC.NS,2024-12-23,2024-12-24,2025-01-07,283.05,272.9,-3.59
JSL.NS,2024-12-23,2024-12-24,2025-01-07,728.9,667.95,-8.36
SNOWMAN.NS,2024-12-24,2024-12-26,2025-01-08,72.86,69.01,-5.28
HITECH.NS,2024-12-23,2024-12-24,2025-01-07,161.68,154.5,-4.44
RPGLIFE.NS,2024-12-24,2024-12-26,2025-01-08,2123.51,2280.16,7.38
FAIRCHEMOR.NS,2024-12-24,2024-12-26,2025-01-08,1207.55,1043.5,-13.59
MBAPL.NS,2024-12-23,2024-12-24,2025-01-07,217.88,248.02,13.83
BABAFP.NS,2024-12-17,2024-12-18,2025-01-01,54.6,59.5,8.97
BABAFP.NS,2024-12-24,2024-12-26,2025-01-08,59.5,57.5,-3.36
KRISHANA.NS,2024-12-23,2024-12-24,2025-01-07,202.11,197.38,-2.34
KRISHANA.NS,2024-12-23,2024-12-24,2025-01-07,202.11,197.38,-2.34
KRISHANA.NS,2024-12-24,2024-12-26,2025-01-08,196.85,191.35,-2.79
