symbol,trade_date,entry_date,exit_date,entry_price,exit_price,return_%
ALMONDZ.NS,2024-12-31,2025-01-01,2025-04-01,33.5,21.49,-35.85
ALMONDZ.NS,2024-12-31,2025-01-01,2025-04-01,33.5,21.49,-35.85
POONAWALLA.NS,2024-12-27,2024-12-30,2025-03-27,315.35,338.6,7.37
FAIRCHEMOR.NS,2024-12-30,2024-12-31,2025-04-01,1218.75,890.75,-26.91
MADHUSUDAN.NS,2024-12-30,2024-12-31,2025-04-01,217.4,158.0,-27.32
MADHUSUDAN.NS,2024-12-30,2024-12-31,2025-04-01,217.4,158.0,-27.32
HITECH.NS,2024-12-27,2024-12-30,2025-03-27,159.36,105.39,-33.87
KRSNAA.NS,2024-12-27,2024-12-30,2025-03-27,877.6,812.6,-7.41
SKP.NS,2024-12-27,2024-12-30,2025-03-27,253.0,222.15,-12.19
JASH.NS,2024-12-27,2024-12-30,2025-03-27,565.04,554.2,-1.92
ALMONDZ.NS,2024-12-30,2024-12-31,2025-04-01,33.49,21.49,-35.83
ALMONDZ.NS,2024-12-30,2024-12-31,2025-04-01,33.49,21.49,-35.83
JINDRILL.NS,2024-12-26,2024-12-27,2025-03-26,766.05,856.95,11.87
JSL.NS,2024-12-26,2024-12-27,2025-03-26,734.84,595.15,-19.01
FAIRCHEMOR.NS,2024-12-27,2024-12-30,2025-03-27,1237.4,862.05,-30.33
NCLIND.NS,2024-12-30,2024-12-31,2025-04-01,218.3,187.32,-14.19
NCLIND.NS,2024-12-30,2024-12-31,2025-04-01,218.3,187.32,-14.19
MADHUSUDAN.NS,2024-12-27,2024-12-30,2025-03-27,211.4,149.7,-29.19
MADHUSUDAN.NS,2024-12-26,2024-12-27,2025-03-26,209.5,159.0,-24.11
MADHUSUDAN.NS,2024-12-27,2024-12-30,2025-03-27,211.4,149.7,-29.19
NRBBEARING.NS,2024-12-27,2024-12-30,2025-03-27,277.8,202.18,-27.22
ALKYLAMINE.NS,2024-12-26,2024-12-27,2025-03-26,1825.46,1671.42,-8.44
PANACEABIO.NS,2024-12-26,2024-12-27,2025-03-26,426.85,440.45,3.19
NURECA.NS,2024-12-27,2024-12-30,2025-03-27,281.1,213.34,-24.11
ALMONDZ.NS,2024-12-27,2024-12-30,2025-03-27,33.25,21.55,-35.19
ALMONDZ.NS,2024-12-27,2024-12-30,2025-03-27,33.25,21.55,-35.19
ALMONDZ.NS,2024-12-26,2024-12-27,2025-03-26,33.0,21.54,-34.73
NCC.NS,2024-12-26,2024-12-27,2025-03-26,279.15,208.3,-25.38
ECLERX.NS,2024-12-26,2024-12-27,2025-03-26,3650.1,2742.65,-24.86
GREENPLY.NS,2024-12-27,2024-12-30,2025-03-27,309.65,292.9,-5.41
GREENPLY.NS,2024-12-27,2024-12-30,2025-03-27,309.65,292.9,-5.41
GREENPLY.NS,2024-12-27,2024-12-30,2025-03-27,309.65,292.9,-5.41
UGARSUGAR.NS,2024-12-27,2024-12-30,2025-03-27,68.34,44.78,-34.47
FAIRCHEMOR.NS,2024-12-26,2024-12-27,2025-03-26,1227.45,898.3,-26.82
INDGN.NS,2024-12-24,2024-12-26,2025-03-24,590.67,550.21,-6.85
MANGLMCEM.NS,2024-12-26,2024-12-27,2025-03-26,981.1,758.5,-22.69
MANGLMCEM.NS,2024-12-27,2024-12-30,2025-03-27,981.55,777.0,-20.84
MANGLMCEM.NS,2024-12-27,2024-12-30,2025-03-27,981.55,777.0,-20.84
NCLIND.NS,2024-12-27,2024-12-30,2025-03-27,219.91,184.13,-16.27
PKTEA.NS,2024-12-23,2024-12-24,2025-03-24,768.3,704.35,-8.32
UGARSUGAR.NS,2024-12-26,2024-12-27,2025-03-26,70.14,44.9,-35.99
PAISALO.NS,2024-12-27,2024-12-30,2025-03-27,49.95,33.97,-31.99
ECLERX.NS,2024-12-23,2024-12-24,2025-03-24,3625.75,2758.2,-23.93
ECLERX.NS,2024-12-24,2024-12-26,2025-03-24,3552.0,2758.2,-22.35
NCC.NS,2024-12-23,2024-12-24,2025-03-24,283.05,209.18,-26.1
JSL.NS,2024-12-23,2024-12-24,2025-03-24,728.9,591.35,-18.87
SNOWMAN.NS,2024-12-24,2024-12-26,2025-03-24,72.86,48.15,-33.91
HITECH.NS,2024-12-23,2024-12-24,2025-03-24,161.68,114.32,-29.29
RPGLIFE.NS,2024-12-24,2024-12-26,2025-03-24,2123.51,2309.47,8.76
FAIRCHEMOR.NS,2024-12-24,2024-12-26,2025-03-24,1207.55,977.65,-19.04
MBAPL.NS,2024-12-23,2024-12-24,2025-03-24,217.88,287.35,31.88
BABAFP.NS,2024-12-17,2024-12-18,2025-03-17,54.6,47.35,-13.28
BABAFP.NS,2024-12-24,2024-12-26,2025-03-24,59.5,44.5,-25.21
KRISHANA.NS,2024-12-23,2024-12-24,2025-03-24,202.11,238.79,18.15
KRISHANA.NS,2024-12-23,2024-12-24,2025-03-24,202.11,238.79,18.15
KRISHANA.NS,2024-12-24,2024-12-26,2025-03-24,196.85,238.79,21.31
ORIENTBELL.NS,2024-12-24,2024-12-26,2025-03-24,326.15,244.25,-25.11
ALMONDZ.NS,2024-12-24,2024-12-26,2025-03-24,33.0,19.78,-40.06
NCLIND.NS,2024-12-23,2024-12-24,2025-03-24,213.7,191.31,-10.48
KPIGREEN.NS,2024-12-24,2024-12-26,2025-03-24,529.47,438.75,-17.13
ECLERX.NS,2024-12-20,2024-12-23,2025-03-20,3611.9,2620.8,-27.44
UGARSUGAR.NS,2024-12-23,2024-12-24,2025-03-24,68.05,47.47,-30.24
20MICRONS.NS,2024-12-24,2024-12-26,2025-03-24,227.96,204.2,-10.42
RPGLIFE.NS,2024-12-23,2024-12-24,2025-03-24,2145.73,2309.47,7.63
