symbol,trade_date,entry_date,exit_date,entry_price,exit_price,return_%
ALMONDZ.NS,2024-12-31,2025-01-01,2025-01-30,33.5,29.96,-10.57
ALMONDZ.NS,2024-12-31,2025-01-01,2025-01-30,33.5,29.96,-10.57
POONAWALLA.NS,2024-12-27,2024-12-30,2025-01-27,315.35,309.55,-1.84
FAIRCHEMOR.NS,2024-12-30,2024-12-31,2025-01-29,1218.75,1139.05,-6.54
MADHUSUDAN.NS,2024-12-30,2024-12-31,2025-01-29,217.4,197.0,-9.38
MADHUSUDAN.NS,2024-12-30,2024-12-31,2025-01-29,217.4,197.0,-9.38
KRSNAA.NS,2024-12-27,2024-12-30,2025-01-27,877.6,801.75,-8.64
SKP.NS,2024-12-27,2024-12-30,2025-01-27,253.0,246.4,-2.61
JASH.NS,2024-12-27,2024-12-30,2025-01-27,565.04,545.66,-3.43
ALMONDZ.NS,2024-12-30,2024-12-31,2025-01-29,33.49,30.17,-9.91
ALMONDZ.NS,2024-12-30,2024-12-31,2025-01-29,33.49,30.17,-9.91
JINDRILL.NS,2024-12-26,2024-12-27,2025-01-27,766.05,788.0,2.87
JSL.NS,2024-12-26,2024-12-27,2025-01-27,734.84,621.62,-15.41
FAIRCHEMOR.NS,2024-12-27,2024-12-30,2025-01-27,1237.4,1100.4,-11.07
MADHUSUDAN.NS,2024-12-27,2024-12-30,2025-01-27,211.4,199.0,-5.87
MADHUSUDAN.NS,2024-12-26,2024-12-27,2025-01-27,209.5,199.0,-5.01
MADHUSUDAN.NS,2024-12-27,2024-12-30,2025-01-27,211.4,199.0,-5.87
NRBBEARING.NS,2024-12-27,2024-12-30,2025-01-27,277.8,249.05,-10.35
ALKYLAMINE.NS,2024-12-26,2024-12-27,2025-01-27,1825.46,1668.49,-8.6
NURECA.NS,2024-12-27,2024-12-30,2025-01-27,281.1,325.7,15.87
ALMONDZ.NS,2024-12-27,2024-12-30,2025-01-27,33.25,31.27,-5.95
ALMONDZ.NS,2024-12-27,2024-12-30,2025-01-27,33.25,31.27,-5.95
ALMONDZ.NS,2024-12-26,2024-12-27,2025-01-27,33.0,31.27,-5.24
NCC.NS,2024-12-26,2024-12-27,2025-01-27,279.15,229.65,-17.73
GREENPLY.NS,2024-12-27,2024-12-30,2025-01-27,309.65,269.1,-13.1
GREENPLY.NS,2024-12-27,2024-12-30,2025-01-27,309.65,269.1,-13.1
GREENPLY.NS,2024-12-27,2024-12-30,2025-01-27,309.65,269.1,-13.1
UGARSUGAR.NS,2024-12-27,2024-12-30,2025-01-27,68.34,49.51,-27.55
FAIRCHEMOR.NS,2024-12-26,2024-12-27,2025-01-27,1227.45,1100.4,-10.35
MANGLMCEM.NS,2024-12-26,2024-12-27,2025-01-27,981.1,828.65,-15.54
MANGLMCEM.NS,2024-12-27,2024-12-30,2025-01-27,981.55,828.65,-15.58
MANGLMCEM.NS,2024-12-27,2024-12-30,2025-01-27,981.55,828.65,-15.58
PKTEA.NS,2024-12-23,2024-12-24,2025-01-22,768.3,753.35,-1.95
UGARSUGAR.NS,2024-12-26,2024-12-27,2025-01-27,70.14,49.51,-29.41
PAISALO.NS,2024-12-27,2024-12-30,2025-01-27,49.95,41.8,-16.32
